Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
186,Entry long,5/12/2025 10:15,Long,55148.35,19,1047818.65,-4151.18,-0.4,10082.45,0.96,-13729.3,-1.31,961890.75,961.89
187,Exit long,6/12/2025 11:15,Bear flip exit,56267.75,19,1050925.15,17526.1,1.67,32378.02,3.08,-5521.28,-0.53,979416.9,979.42
187,Entry long,5/23/2025 11:15,Long,55311.85,19,1050925.15,17526.1,1.67,32378.02,3.08,-5521.28,-0.53,979416.9,979.42
188,Exit long,7/2/2025 14:15,Bear flip exit,56891.9,19,1066545.05,13756.8,1.29,28074.59,2.63,-7059.26,-0.66,993173.7,993.17
188,Entry long,6/20/2025 11:15,Long,56133.95,19,1066545.05,13756.8,1.29,28074.59,2.63,-7059.26,-0.66,993173.7,993.17
189,Exit long,8/22/2025 10:15,Bear flip exit,55336.95,19,1064537.7,-13770.43,-1.29,476.74,0.04,-14139.96,-1.33,979403.25,979.4
189,Entry long,8/18/2025 10:15,Long,56028.3,19,1064537.7,-13770.43,-1.29,476.74,0.04,-14139.96,-1.33,979403.25,979.4
190,Exit long,9/23/2025 11:15,Bear flip exit,55214.85,19,1031738,16719.9,1.62,28822.23,2.79,-4537.97,-0.44,996123.1,996.12
190,Entry long,9/8/2025 12:15,Long,54302,19,1031738,16719.9,1.62,28822.23,2.79,-4537.97,-0.44,996123.1,996.12
191,Exit long,10/24/2025 14:15,Bear flip exit,57612.45,19,1046483.9,47510.31,4.54,66174.66,6.32,-323.45,-0.03,1043633.44,1043.63
191,Entry long,10/1/2025 11:15,Long,55078.1,19,1046483.9,47510.31,4.54,66174.66,6.32,-323.45,-0.03,1043633.44,1043.63
192,Exit long,11/24/2025 9:15,Bear flip exit,59039.15,19,1104729.35,16346.56,1.48,24301.13,2.2,-944.17,-0.09,1059980,1059.98
192,Entry long,11/11/2025 15:15,Long,58143.65,19,1104729.35,16346.56,1.48,24301.13,2.2,-944.17,-0.09,1059980,1059.98
193,Exit long,12/2/2025 15:15,Bear flip exit,59294.65,19,1131222,-5301,-0.47,10610.33,0.94,-5774.32,-0.51,1054679,1054.68
193,Entry long,11/26/2025 15:15,Long,59538,19,1131222,-5301,-0.47,10610.33,0.94,-5774.32,-0.51,1054679,1054.68
194,Exit long,1/20/2026 15:15,Bear flip exit,59388.45,19,1134884.25,-7182.68,-0.63,9243.14,0.81,-6955.32,-0.61,1047496.3,1047.5
194,Entry long,1/14/2026 13:15,Long,59730.75,19,1134884.25,-7182.68,-0.63,9243.14,0.81,-6955.32,-0.61,1047496.3,1047.5
195,Exit long,2/13/2026 11:15,Bear flip exit,60315,19,1142468.1,2830.36,0.25,13836.96,1.21,-9564.39,-0.84,1050326.8,1050.33
195,Entry long,2/3/2026 11:15,Long,60129.9,19,1142468.1,2830.36,0.25,13836.96,1.21,-9564.39,-0.84,1050326.8,1050.33
196,Exit long,2/19/2026 14:15,Bear flip exit,60988.3,18,1093997.7,3134.16,0.29,15892.5,1.45,-4245.9,-0.39,1053460.9,1053.46
196,Entry long,2/16/2026 14:15,Long,60777.65,18,1093997.7,3134.16,0.29,15892.5,1.45,-4245.9,-0.39,1053460.9,1053.46
197,Exit long,4/13/2026 10:15,Bear flip exit,54743.75,22,1143507.2,60150.94,5.26,87676.75,7.67,-44843.55,-3.92,1113611.8,1113.61
197,Entry long,4/1/2026 13:15,Long,51977.6,22,1143507.2,60150.94,5.26,87676.75,7.67,-44843.55,-3.92,1113611.8,1113.61
198,Exit long,4/23/2026 11:15,Bear flip exit,56561.75,21,1186556.7,527.74,0.04,19669.63,1.66,-14238.02,-1.2,1114139.5,1114.14
198,Entry long,4/15/2026 10:15,Long,56502.7,21,1186556.7,527.74,0.04,19669.63,1.66,-14238.02,-1.2,1114139.5,1114.14
199,Exit long,5/11/2026 10:15,Bear flip exit,54472.9,21,1174749.45,-31514.15,-2.68,7915.28,0.67,-32854.12,-2.8,1082625.4,1082.63
199,Entry long,5/6/2026 15:15,Long,55940.45,21,1174749.45,-31514.15,-2.68,7915.28,0.67,-32854.12,-2.8,1082625.4,1082.63
200,Exit long,6/23/2026 15:15,Bear flip exit,57211.75,21,1144417.05,56325.94,4.92,73685.88,6.44,-14051.07,-1.23,1138951.4,1138.95
200,Entry long,6/5/2026 10:15,Long,54496.05,21,1144417.05,56325.94,4.92,73685.88,6.44,-14051.07,-1.23,1138951.4,1138.95
201,Exit long,6/25/2026 15:15,Open,58187.3,21,1218552.3,2648.85,0.22,13909.19,1.14,-1725.32,-0.14,1141234.6,1141.23
201,Entry long,6/24/2026 12:15,Long,58026.3,21,1218552.3,2648.85,0.22,13909.19,1.14,-1725.32,-0.14,1141234.6,1141.23
