Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
29,Entry long,1/3/2012 11:15,Long,8195.65,27,221282.55,35667.94,16.11,47148.52,21.3,-366.08,-0.17,163371.03,163.37
30,Exit long,2/22/2012 14:15,Bear flip exit,10906,26,254475,28919.59,11.36,37344.16,14.67,-1026.64,-0.4,192290.62,192.29
30,Entry long,1/31/2012 13:15,Long,9787.5,26,254475,28919.59,11.36,37344.16,14.67,-1026.64,-0.4,192290.62,192.29
31,Exit long,3/1/2012 14:15,Bear flip exit,10200.2,27,282856.05,-7618.13,-2.69,5076.19,1.79,-8614.16,-3.04,184672.5,184.67
31,Entry long,2/28/2012 12:15,Long,10476.15,27,282856.05,-7618.13,-2.69,5076.19,1.79,-8614.16,-3.04,184672.5,184.67
32,Exit long,3/15/2012 11:15,Bear flip exit,10633.75,27,283311,3629.12,1.28,11229.36,3.96,-762.69,-0.27,188301.62,188.3
32,Entry long,3/9/2012 14:15,Long,10493,27,283311,3629.12,1.28,11229.36,3.96,-762.69,-0.27,188301.62,188.3
33,Exit long,4/16/2012 9:15,Bear flip exit,10291.45,27,279830.7,-2128.86,-0.76,5960,2.13,-3550.75,-1.27,186172.77,186.17
33,Entry long,4/12/2012 10:15,Long,10364.1,27,279830.7,-2128.86,-0.76,5960,2.13,-3550.75,-1.27,186172.77,186.17
34,Exit long,5/4/2012 10:15,Bear flip exit,9957.8,27,279165.15,-10468.96,-3.75,1074.55,0.38,-10420.7,-3.73,175703.8,175.7
34,Entry long,4/30/2012 11:15,Long,10339.45,27,279165.15,-10468.96,-3.75,1074.55,0.38,-10420.7,-3.73,175703.8,175.7
35,Exit long,6/14/2012 14:15,Bear flip exit,9873.1,29,275385.45,10765.94,3.91,21043.89,7.64,-2857.92,-1.04,186469.75,186.47
35,Entry long,6/5/2012 10:15,Long,9496.05,29,275385.45,10765.94,3.91,21043.89,7.64,-2857.92,-1.04,186469.75,186.47
36,Exit long,6/18/2012 11:15,Bear flip exit,9846.35,28,285034.4,-9504.82,-3.33,211.29,0.07,-11667.71,-4.09,176964.92,176.96
36,Entry long,6/18/2012 10:15,Long,10179.8,28,285034.4,-9504.82,-3.33,211.29,0.07,-11667.71,-4.09,176964.92,176.96
37,Exit long,7/12/2012 13:15,Bear flip exit,10565.7,27,270834.3,14272.77,5.27,20213.3,7.46,-4321.6,-1.6,191237.69,191.24
37,Entry long,6/21/2012 15:15,Long,10030.9,27,270834.3,14272.77,5.27,20213.3,7.46,-4321.6,-1.6,191237.69,191.24
38,Exit long,8/10/2012 10:15,Bear flip exit,10400.05,28,290621.8,405.05,0.14,7232.01,2.49,-7831.99,-2.69,191642.75,191.64
38,Entry long,7/27/2012 11:15,Long,10379.35,28,290621.8,405.05,0.14,7232.01,2.49,-7831.99,-2.69,191642.75,191.64
39,Exit long,8/24/2012 10:15,Bear flip exit,10369.2,27,284532.75,-4733.7,-1.66,524.84,0.18,-5064.16,-1.78,186909.05,186.91
39,Entry long,8/14/2012 12:15,Long,10538.25,27,284532.75,-4733.7,-1.66,524.84,0.18,-5064.16,-1.78,186909.05,186.91
40,Exit long,10/8/2012 10:15,Bear flip exit,11423.75,28,282220.4,37463.97,13.27,46426.13,16.45,-2123.07,-0.75,224373.02,224.37
40,Entry long,9/7/2012 10:15,Long,10079.3,28,282220.4,37463.97,13.27,46426.13,16.45,-2123.07,-0.75,224373.02,224.37
41,Exit long,11/9/2012 13:15,Bear flip exit,11470.85,28,321307,-315.95,-0.1,6731.41,2.09,-2166.99,-0.67,224057.06,224.06
41,Entry long,11/5/2012 11:15,Long,11475.25,28,321307,-315.95,-0.1,6731.41,2.09,-2166.99,-0.67,224057.06,224.06
42,Exit long,12/24/2012 10:15,Bear flip exit,12305.25,28,322814.8,21531.99,6.67,29093.16,9.01,-3935.64,-1.22,245589.06,245.59
42,Entry long,11/22/2012 10:15,Long,11529.1,28,322814.8,21531.99,6.67,29093.16,9.01,-3935.64,-1.22,245589.06,245.59
43,Exit long,1/8/2013 12:15,Bear flip exit,12649.75,27,337112.55,4227.1,1.25,9406.92,2.79,-2571.63,-0.76,249816.17,249.82
43,Entry long,12/26/2012 13:15,Long,12485.65,27,337112.55,4227.1,1.25,9406.92,2.79,-2571.63,-0.76,249816.17,249.82
44,Exit long,1/14/2013 9:15,Bear flip exit,12627.65,27,345755.25,-5014.71,-1.45,673.87,0.19,-6127.43,-1.77,244801.45,244.8
44,Entry long,1/10/2013 15:15,Long,12805.75,27,345755.25,-5014.71,-1.45,673.87,0.19,-6127.43,-1.77,244801.45,244.8
45,Exit long,1/16/2013 15:15,Bear flip exit,12637,26,334196.2,-5833.03,-1.74,219.54,0.07,-5844.96,-1.75,238968.42,238.97
45,Entry long,1/15/2013 15:15,Long,12853.7,26,334196.2,-5833.03,-1.74,219.54,0.07,-5844.96,-1.75,238968.42,238.97
46,Exit long,2/4/2013 15:15,Bear flip exit,12553.35,26,332265.7,-6076.2,-1.83,4611.52,1.39,-6329.28,-1.9,232892.23,232.89
46,Entry long,1/28/2013 14:15,Long,12779.45,26,332265.7,-6076.2,-1.83,4611.52,1.39,-6329.28,-1.9,232892.23,232.89
